,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,72h Ctrl,0.0,24.806387685133338,17.996327025783952,15
1,72h Ctrl,1.0,-6.932910900724991,2.0865551629590477,4
2,72h Ctrl,0.5,19.885649422575,12.397374682266674,8
3,72h Ctrl,0.8,-3.254879821299994,3.1052691835278377,3
4,72h Ctrl,0.2,17.900571281471432,11.069390388679679,7
0,72h XAV,0.0,-3.5725520499249988,3.528668059481726,12
1,72h XAV,1.0,-7.357364251866666,1.8481682065580263,6
2,72h XAV,0.5,1.2667901243857176,5.2622438336674495,7
3,72h XAV,0.8,-4.812992347060003,2.089677157092119,5
4,72h XAV,0.2,-0.6763444471714267,3.423125968506238,7
