,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,24h Ctrl,0.0,13.943639867026668,3.4513701257726583,15
1,24h Ctrl,1.0,204.888279545325,44.369858118846274,8
2,24h Ctrl,0.5,120.49647358046252,26.11448041872318,8
3,24h Ctrl,0.8,202.4977455554125,41.66259674764934,8
4,24h Ctrl,0.2,62.89242208525714,19.46722059960177,7
0,24h XAV,0.0,19.554295099446662,7.561793982729404,15
1,24h XAV,1.0,198.8000635463875,57.54162902338127,8
2,24h XAV,0.5,116.54466372914999,51.0040192266098,8
3,24h XAV,0.8,183.66775978474286,32.27178549495113,7
4,24h XAV,0.2,48.8771452802125,8.668155422500236,8
